epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,256.875,0.61291,0.46261,0.98383,0.9845,0.9887,0.99112,0.90194,0.46915,0.26433,0.88858,0.00025375,0.00025375,0.00025375
62,260.836,0.60774,0.43108,0.97493,0.98709,0.99112,0.99145,0.87953,0.51302,0.27625,0.90555,0.000247563,0.000247563,0.000247563
63,264.803,0.61604,0.4452,0.98596,0.98709,0.99158,0.99176,0.87535,0.58269,0.27368,0.94467,0.000241375,0.000241375,0.000241375
64,268.775,0.62873,0.45374,1.00714,0.99481,0.99085,0.99178,0.91023,0.44838,0.24527,0.88121,0.000235188,0.000235188,0.000235188
65,272.746,0.64499,0.46109,1.02071,0.99415,0.98943,0.99162,0.90627,0.46724,0.26208,0.88559,0.000229,0.000229,0.000229
66,276.71,0.65897,0.46086,1.02253,0.99395,0.98907,0.9916,0.9077,0.45457,0.25732,0.88149,0.000222813,0.000222813,0.000222813
67,280.759,0.69201,0.4732,1.01238,0.995,0.99067,0.99188,0.83022,0.66401,0.29088,0.95571,0.000216625,0.000216625,0.000216625
68,284.719,0.65517,0.45726,1.0092,0.99487,0.9916,0.99189,0.91091,0.47519,0.2473,0.89777,0.000210437,0.000210437,0.000210437
69,288.7,0.6317,0.46247,0.9929,0.99477,0.99066,0.99194,0.90642,0.4804,0.25162,0.89929,0.00020425,0.00020425,0.00020425
70,292.65,0.59744,0.41783,0.98769,0.99559,0.99167,0.99202,0.88732,0.50114,0.25639,0.89582,0.000198063,0.000198063,0.000198063
71,296.601,0.68271,0.45168,1.02437,0.99313,0.99242,0.99215,0.90611,0.44907,0.24472,0.87761,0.000191875,0.000191875,0.000191875
72,300.577,0.67314,0.45895,1.00753,0.99456,0.99094,0.99225,0.8779,0.6113,0.274,0.9442,0.000185688,0.000185688,0.000185688
73,304.54,0.62402,0.45893,1.0094,0.99392,0.9915,0.99234,0.90531,0.479,0.24757,0.88952,0.0001795,0.0001795,0.0001795
74,308.496,0.57134,0.40887,0.95816,0.99412,0.99112,0.992,0.89166,0.50484,0.24261,0.89674,0.000173313,0.000173313,0.000173313
75,312.454,0.55773,0.41658,0.97,0.99402,0.9916,0.99168,0.90577,0.49323,0.24081,0.9036,0.000167125,0.000167125,0.000167125
76,316.408,0.56204,0.40036,0.95889,0.99517,0.99213,0.9917,0.90325,0.49515,0.2356,0.89768,0.000160938,0.000160938,0.000160938
77,320.368,0.57802,0.40217,0.96598,0.99534,0.99222,0.99209,0.91243,0.44585,0.22546,0.87869,0.00015475,0.00015475,0.00015475
78,324.331,0.62241,0.41021,0.98764,0.99329,0.99205,0.99239,0.90036,0.48299,0.23936,0.89647,0.000148563,0.000148563,0.000148563
79,328.379,0.60092,0.43494,0.99107,0.99401,0.99232,0.99251,0.89884,0.49502,0.23622,0.89479,0.000142375,0.000142375,0.000142375
