epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,93.5775,1.08489,1.02337,0.93276,0.90516,0.94273,0.96767,0.68721,1.00168,0.78344,0.89118,0.000272313,0.000272313,0.000272313
59,94.9311,1.0971,1.03071,0.91015,0.90697,0.93576,0.96139,0.68803,0.99583,0.80021,0.8939,0.000266125,0.000266125,0.000266125
60,96.267,1.10106,1.03935,0.92288,0.91958,0.944,0.9622,0.68714,1.00881,0.76633,0.89431,0.000259938,0.000259938,0.000259938
61,97.6091,1.05043,0.97337,0.90631,0.93924,0.94,0.96456,0.69505,0.99054,0.76487,0.89061,0.00025375,0.00025375,0.00025375
62,99.1329,1.05236,0.97255,0.90278,0.92554,0.95645,0.96918,0.69513,1.00097,0.75528,0.89145,0.000247563,0.000247563,0.000247563
63,100.52,1.03629,0.93972,0.90759,0.92703,0.95159,0.97361,0.69521,0.99468,0.7521,0.89104,0.000241375,0.000241375,0.000241375
64,101.902,1.02952,0.96087,0.91145,0.9205,0.96484,0.97585,0.71246,0.95315,0.74792,0.88294,0.000235188,0.000235188,0.000235188
65,103.277,1.03243,0.95153,0.90404,0.92586,0.95251,0.97442,0.71723,0.92725,0.73917,0.88015,0.000229,0.000229,0.000229
66,104.64,1.03303,0.95697,0.91431,0.9431,0.94827,0.97688,0.70793,0.96461,0.72882,0.88854,0.000222813,0.000222813,0.000222813
67,105.985,1.02319,0.95344,0.90605,0.95147,0.94475,0.97656,0.70733,1.00036,0.73253,0.89263,0.000216625,0.000216625,0.000216625
68,107.323,0.99243,0.93487,0.8934,0.94747,0.95056,0.97526,0.71074,0.98539,0.73381,0.88794,0.000210437,0.000210437,0.000210437
69,108.661,1.00946,0.89133,0.89138,0.94507,0.95009,0.9751,0.72516,0.92898,0.70754,0.87859,0.00020425,0.00020425,0.00020425
70,110.179,0.9886,0.9158,0.90547,0.9367,0.96589,0.97623,0.72342,0.92584,0.71117,0.87716,0.000198063,0.000198063,0.000198063
71,111.531,1.00539,0.93114,0.89804,0.93707,0.96215,0.97484,0.71822,0.92268,0.7119,0.87852,0.000191875,0.000191875,0.000191875
72,112.864,1.02261,0.96992,0.90158,0.94257,0.95532,0.97436,0.71258,0.94362,0.72557,0.88087,0.000185688,0.000185688,0.000185688
73,114.209,1.04347,0.98813,0.90898,0.93117,0.96647,0.97524,0.72448,0.93419,0.72379,0.87885,0.0001795,0.0001795,0.0001795
74,115.538,1.00631,0.89078,0.88629,0.9463,0.95634,0.97888,0.73564,0.90658,0.6805,0.87412,0.000173313,0.000173313,0.000173313
75,116.907,0.98611,0.88502,0.90316,0.94407,0.95828,0.97779,0.71892,0.95077,0.69129,0.88293,0.000167125,0.000167125,0.000167125
76,118.238,0.98875,0.89212,0.90236,0.93402,0.95741,0.97498,0.7048,0.98947,0.70966,0.88892,0.000160938,0.000160938,0.000160938
77,119.58,0.94222,0.87526,0.88155,0.93072,0.95747,0.97301,0.71239,0.95736,0.70401,0.8842,0.00015475,0.00015475,0.00015475
78,121.048,1.0113,0.91873,0.90437,0.93686,0.96206,0.97602,0.7133,0.97082,0.68676,0.88829,0.000148563,0.000148563,0.000148563
79,122.375,1.02962,0.9209,0.91212,0.94441,0.96804,0.97779,0.73215,0.91937,0.67189,0.8777,0.000142375,0.000142375,0.000142375
80,123.705,0.97392,0.87726,0.90489,0.94617,0.97146,0.97802,0.73668,0.90123,0.66026,0.87337,0.000136187,0.000136187,0.000136187
81,125.066,1.00342,0.88945,0.88303,0.95041,0.97045,0.97887,0.73234,0.90441,0.6568,0.87251,0.00013,0.00013,0.00013
82,126.4,0.97404,0.91793,0.89715,0.94877,0.97315,0.97874,0.72709,0.91865,0.6551,0.8746,0.000123812,0.000123812,0.000123812
83,127.738,0.96611,0.9072,0.89017,0.94679,0.97338,0.9794,0.74179,0.89069,0.64942,0.87048,0.000117625,0.000117625,0.000117625
84,129.12,0.99087,0.89315,0.89669,0.94205,0.97604,0.97851,0.7428,0.89188,0.65124,0.87185,0.000111438,0.000111438,0.000111438
85,130.49,0.98672,0.88997,0.89532,0.94088,0.97274,0.97934,0.73882,0.90339,0.64694,0.87363,0.00010525,0.00010525,0.00010525
86,131.964,0.95475,0.85139,0.8851,0.96124,0.94415,0.97964,0.73737,0.92124,0.63871,0.87572,9.90625e-05,9.90625e-05,9.90625e-05
87,133.289,0.9471,0.85519,0.88924,0.96172,0.94327,0.97889,0.74414,0.8846,0.63231,0.86963,9.2875e-05,9.2875e-05,9.2875e-05
88,134.657,0.9538,0.84698,0.88205,0.96304,0.94594,0.97925,0.74534,0.87971,0.62437,0.86882,8.66875e-05,8.66875e-05,8.66875e-05
89,136.026,0.94371,0.85786,0.88813,0.95599,0.95174,0.9793,0.74623,0.8799,0.62447,0.8694,8.05e-05,8.05e-05,8.05e-05
