epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,380.321,0.94501,0.57956,0.91944,0.9058,0.91985,0.95486,0.63274,1.23248,0.66617,0.98872,0.0002785,0.0002785,0.0002785
58,386.682,1.02879,0.64036,0.94374,0.93648,0.93627,0.97326,0.70852,1.01197,0.56821,0.92188,0.000272313,0.000272313,0.000272313
59,393.075,0.99415,0.66885,0.91218,0.88297,0.9622,0.97466,0.71967,0.98718,0.57779,0.90943,0.000266125,0.000266125,0.000266125
60,399.468,0.98005,0.63607,0.92425,0.92386,0.97229,0.97955,0.7183,0.99044,0.51332,0.9094,0.000259938,0.000259938,0.000259938
61,405.863,0.93706,0.62489,0.90424,0.8786,0.93962,0.95374,0.70253,0.97026,0.61372,0.9047,0.00025375,0.00025375,0.00025375
62,412.244,0.91996,0.59047,0.8994,0.95859,0.94607,0.98045,0.74263,0.9024,0.4889,0.89036,0.000247563,0.000247563,0.000247563
63,418.714,0.92456,0.59158,0.90742,0.94164,0.97567,0.98112,0.74502,0.89606,0.47863,0.88804,0.000241375,0.000241375,0.000241375
64,425.175,0.92262,0.57202,0.90729,0.92009,0.96474,0.97313,0.72875,0.94494,0.5267,0.89963,0.000235188,0.000235188,0.000235188
65,431.544,0.9271,0.59724,0.90852,0.97343,0.94316,0.98211,0.7273,0.97216,0.47403,0.90682,0.000229,0.000229,0.000229
66,437.92,0.93239,0.57206,0.91242,0.9482,0.97443,0.98063,0.72676,0.95455,0.46626,0.90052,0.000222813,0.000222813,0.000222813
67,444.3,0.93481,0.58663,0.90784,0.95238,0.96908,0.97943,0.73298,0.93034,0.46581,0.89472,0.000216625,0.000216625,0.000216625
68,450.681,0.90566,0.56676,0.90179,0.94494,0.98602,0.98238,0.73821,0.91551,0.45638,0.89676,0.000210437,0.000210437,0.000210437
69,457.075,0.89605,0.54721,0.88409,0.95752,0.96173,0.98194,0.74048,0.89928,0.46194,0.88564,0.00020425,0.00020425,0.00020425
70,463.463,0.91439,0.55368,0.91078,0.96393,0.95845,0.98354,0.74943,0.87976,0.45264,0.88179,0.000198063,0.000198063,0.000198063
71,469.943,0.92103,0.5522,0.90264,0.9539,0.97097,0.98328,0.75003,0.89396,0.45041,0.88659,0.000191875,0.000191875,0.000191875
72,476.429,0.92402,0.56915,0.90269,0.94674,0.95961,0.97345,0.74659,0.89395,0.4823,0.88214,0.000185688,0.000185688,0.000185688
73,482.824,0.93739,0.57237,0.90999,0.94753,0.96778,0.97451,0.73899,0.93261,0.49789,0.89192,0.0001795,0.0001795,0.0001795
74,489.209,0.9111,0.52729,0.88816,0.94296,0.97942,0.98231,0.76174,0.8602,0.4506,0.87361,0.000173313,0.000173313,0.000173313
75,495.66,0.90521,0.53724,0.90593,0.96143,0.95339,0.98196,0.76477,0.83983,0.4537,0.86908,0.000167125,0.000167125,0.000167125
76,502.106,0.88298,0.54141,0.89364,0.98194,0.94677,0.98278,0.76484,0.84256,0.43501,0.87088,0.000160938,0.000160938,0.000160938
77,508.52,0.82522,0.50159,0.88101,0.97725,0.95508,0.98404,0.75527,0.87403,0.42605,0.87834,0.00015475,0.00015475,0.00015475
78,514.889,0.88721,0.52046,0.89542,0.96001,0.98207,0.98545,0.72889,0.95303,0.43548,0.89816,0.000148563,0.000148563,0.000148563
79,521.274,0.89673,0.52862,0.90826,0.96239,0.98076,0.98503,0.7721,0.82262,0.41578,0.8669,0.000142375,0.000142375,0.000142375
80,527.726,0.87686,0.50591,0.90252,0.96571,0.97649,0.98467,0.77792,0.79901,0.41763,0.86337,0.000136187,0.000136187,0.000136187
81,534.207,0.86121,0.52273,0.87702,0.96386,0.98092,0.98514,0.76058,0.85091,0.42557,0.87752,0.00013,0.00013,0.00013
82,540.589,0.85212,0.50447,0.891,0.96136,0.97552,0.98509,0.76612,0.83539,0.42002,0.87342,0.000123812,0.000123812,0.000123812
83,546.968,0.84282,0.51349,0.88364,0.98547,0.95556,0.98432,0.78344,0.79724,0.39763,0.86212,0.000117625,0.000117625,0.000117625
84,553.439,0.85197,0.51343,0.89289,0.97237,0.95806,0.98388,0.7751,0.82466,0.39721,0.86431,0.000111438,0.000111438,0.000111438
85,559.83,0.82927,0.50668,0.88833,0.97379,0.95637,0.98428,0.76987,0.83361,0.40028,0.86549,0.00010525,0.00010525,0.00010525
86,566.216,0.82241,0.47395,0.87509,0.97327,0.95947,0.98431,0.77588,0.80761,0.39317,0.86164,9.90625e-05,9.90625e-05,9.90625e-05
87,572.596,0.82636,0.48454,0.88229,0.98026,0.95814,0.98442,0.77986,0.79366,0.39317,0.85837,9.2875e-05,9.2875e-05,9.2875e-05
88,578.995,0.82246,0.48586,0.87194,0.96742,0.9658,0.98423,0.77204,0.82879,0.40571,0.86544,8.66875e-05,8.66875e-05,8.66875e-05
89,585.389,0.81539,0.49088,0.87748,0.96921,0.96318,0.98449,0.77382,0.82631,0.4134,0.86555,8.05e-05,8.05e-05,8.05e-05
90,591.773,0.84948,0.48002,0.88958,0.98549,0.94822,0.98432,0.78207,0.78933,0.39996,0.85785,7.43125e-05,7.43125e-05,7.43125e-05
91,598.641,0.78108,0.42817,0.88704,0.98029,0.95413,0.98424,0.77925,0.79397,0.39655,0.85856,6.8125e-05,6.8125e-05,6.8125e-05
92,605.018,0.80056,0.42637,0.88813,0.98052,0.95469,0.98418,0.77218,0.8159,0.39971,0.8646,6.19375e-05,6.19375e-05,6.19375e-05
93,611.387,0.78256,0.42069,0.86593,0.97889,0.95017,0.98414,0.77923,0.79072,0.39444,0.85785,5.575e-05,5.575e-05,5.575e-05
94,617.753,0.77664,0.41377,0.88242,0.96045,0.96023,0.98438,0.77873,0.79583,0.39339,0.85828,4.95625e-05,4.95625e-05,4.95625e-05
95,624.111,0.75668,0.39476,0.86757,0.95154,0.98071,0.9849,0.78066,0.79512,0.38916,0.85756,4.3375e-05,4.3375e-05,4.3375e-05
96,630.479,0.76095,0.41111,0.86737,0.95255,0.98271,0.98495,0.78794,0.77225,0.38306,0.85191,3.71875e-05,3.71875e-05,3.71875e-05
97,636.951,0.7572,0.40011,0.88302,0.95514,0.9868,0.98506,0.7893,0.77279,0.37994,0.85154,3.1e-05,3.1e-05,3.1e-05
98,643.415,0.75528,0.40457,0.87529,0.95445,0.98708,0.98502,0.79375,0.76343,0.37658,0.8496,2.48125e-05,2.48125e-05,2.48125e-05
99,649.878,0.73202,0.39196,0.87717,0.95252,0.98711,0.98496,0.79613,0.75588,0.37584,0.84748,1.8625e-05,1.8625e-05,1.8625e-05
100,656.345,0.77476,0.3907,0.88599,0.95437,0.98798,0.98507,0.7973,0.75462,0.37576,0.8474,1.24375e-05,1.24375e-05,1.24375e-05
